Name           , Site Address               , Unique Point                               , Ranking (Approx), Founded
Bitly          , https://bitly.com          , Enterprise analytics & branded links       ,                1,    2009
TinyURL        , https://tinyurl.com        , Oldest widely used public shortener        ,                6,    2002
Rebrandly      , https://rebrandly.com      , Custom branded domains                     ,                8,    2015
Cuttly         , https://cutt.ly            , Free analytics & QR codes                  ,                7,    2017
Short.io       , https://short.io           , Advanced developer API & custom domains    ,               15,    2017
T.ly           , https://t.ly               , Simple UI with API and analytics           ,               11,    2018
Ow.ly          , https://ow.ly              , Hootsuite social media integration         ,               12,    2009
BL.INK         , https://blink.co           , Enterprise link management                 ,               20,    2014
T2M            , https://t2m.io             , Enterprise-level analytics                 ,               18,    2013
Sniply         , https://snip.ly            , Add call-to-action overlays on shared links,               22,    2015
Shorte.st      , https://shorte.st          , Monetized link shortening                  ,               25,    2013
SmartURL       , https://smarturl.it        , Music marketing links                      ,               26,    2012
Geniuslink     , https://geniuslink.com     , Affiliate & geo redirect links             ,               14,    2009
Switchy        , https://switchy.io         , Retargeting pixels in short links          ,               30,    2018
Short.cm       , https://short.cm           , Team collaboration for links               ,               17,    2018
Linkfire       , https://linkfire.com       , Music and marketing smart links            ,                9,    2014
PixelMe        , https://pixelme.me         , Retargeting marketing links                ,               27,    2017
Dub.co         , https://dub.co             , Modern open-source link management         ,               31,    2022
YOURLS         , https://yourls.org         , Self-hosted open-source shortener          ,               16,    2009
Polr           , https://polrproject.org    , Open source minimal shortener              ,               33,    2015
Shlink         , https://shlink.io          , Developer self-hosted solution             ,               34,    2017
LnnkIn         , https://lnnkin.com         , Bio links + URL shortener                  ,               35,    2019
Ln.run         , https://ln.run             , Simple link shortening service             ,               36,    2018
Come.ac        , https://come.ac            , Quick free shortener without signup        ,               37,    2019
Shorter.me     , https://shorter.me         , Affiliate link tools                       ,               38,    2017
EepURL         , https://eepurl.com         , Mailchimp email campaign links             ,                2,    2008
Amzn.to        , https://amzn.to            , Amazon affiliate shortener                 ,                3,    2010
t.co           , https://t.co               , Twitter automatic shortener                ,                4,    2010
fb.me          , https://fb.me              , Facebook internal short links              ,               10,    2011
g.co           , https://g.co               , Google official shortcut domain            ,                5,    2011
youtu.be       , https://youtu.be           , YouTube official short links               ,               13,    2009
Branch         , https://branch.io          , Mobile deep linking platform               ,               21,    2014
ClickMeter     , https://clickmeter.com     , Conversion tracking links                  ,               24,    2012
Capsulink      , https://capsulink.com      , Marketing campaign links                   ,               28,    2016
Firelink       , https://firelink.io        , Smart marketing links                      ,               39,    2019
Linkly         , https://linklyhq.com       , Retargeting short links                    ,               29,    2018
LinkDrip       , https://linkdrip.com       , Marketing automation links                 ,               41,    2019
ShortURL       , https://shorturl.at        , Ad-supported quick shortener               ,               19,    2018
Tiny.cc        , https://tiny.cc            , Custom alias support                       ,               23,    2009
RB.GY          , https://rb.gy              , QR-enabled shortening service              ,               32,    2020
Utm.io         , https://utm.io             , UTM link builder with shortening           ,               42,    2018
CampaignTrackly, https://campaigntrackly.com, Marketing campaign URL builder             ,               43,    2016
TerminusApp    , https://terminusapp.com    , Advanced UTM management                    ,               44,    2017
ShortenWorld   , https://shortenworld.com   , Large free shortening quota                ,               45,    2018
URLBee         , https://urlbee.io          , Free custom links without signup           ,               46,    2023
Zipzy          , https://zipzy.in           , QR + landing pages + analytics             ,               47,    2024
Is.gd          , https://is.gd              , Extremely minimal interface                ,               48,    2002
V.gd           , https://v.gd               , Alternate domain of is.gd                  ,               49,    2009
Adf.ly         , https://adf.ly             , Monetized links with ads                   ,               50,    2009
Clk.sh         , https://clk.sh             , Advertising link shortener                 ,               51,    2015
Shrtfly        , https://shrtfly.com        , High-paying monetized links                ,               52,    2018
Exe.io         , https://exe.io             , Link monetization platform                 ,               53,    2019
Za.gl          , https://za.gl              , Fast anonymous short links                 ,               54,    2017
Ouo.io         , https://ouo.io             , Ad-based link monetization                 ,               55,    2014
Bc.vc          , https://bc.vc              , Monetized traffic links                    ,               56,    2013
Linkvertise    , https://linkvertise.com    , Creator monetization links                 ,               57,    2017
Droplink       , https://droplink.co        , Content locker link shortener              ,               58,    2019
Cut-Urls       , https://cut-urls.com       , Simple free shortener                      ,               59,    2020
C1k.me         , https://c1k.me             , Minimal API-friendly shortener             ,               60,    2018
U.to           , https://u.to               , Simple redirection shortener               ,               61,    2012
ShinyLink      , https://shinylink.com      , Brandable marketing links                  ,               62,    2016
SnipURL        , https://snipurl.com        , Classic URL shortener                      ,               63,    2003
BudURL         , https://budurl.com         , Marketing analytics links                  ,               64,    2008
Hyperlink      , https://hyperlink.com      , Advanced analytics tracking                ,               65,    2017
Shortshare     , https://shortshare.app     , Desktop link sharing tool                  ,               66,    2021
Clkim          , https://clkim.com          , Publisher monetization links               ,               67,    2012
AdShrink       , https://adshrink.it        , Ad monetized short links                   ,               68,    2016
Clicksfly      , https://clicksfly.com      , Ad-supported link shortener                ,               69,    2017
ShrinkMe       , https://shrinkme.io        , Crypto payouts for links                   ,               70,    2020